SAI1HXS9NwQ	Imitation as a Gateway to Development | Russell Brand & Mikhaila & Jordan Peterson
Ek0tCv0YCVE	The Physical Path to Exploring the Hero Archetype With Wim Hof and Jordan Peterson
LLyPVgeH-jo	Men & Women: Personality Differences | Discovering Personality with Dr. Jordan B. Peterson
6bHX5W55Fdw	Auckland Clip 4: On Cain and Abel
6LIR2zQ-jvQ	Religious Belief and the Enlightenment with Ben Shapiro
cXllaoNQmZY	Bishop Barron: Word on Fire
j0GL_4cAkhI	On Claiming Belief In God: Discussion with Dennis Prager
vwKCK5EhibM	On Claiming Belief in God: Commentary
MnUfXYGtT5Q	Lecture: Who Dares Say He Believes in God?
RUo6Xz9asgw	We Make Stories Out of Totem Poles
QT_dxsTsHsg	Archetype, Reality, Friendship and Literature: Peterson/Hurwitz
_v-NfZ1j918	Leaders: Myth & Reality: General Stanley McChrystal
XvbtKAYdcZY	Sir Roger Scruton/Dr. Jordan B. Peterson: Apprehending the Transcendent
6LLqWGn7e_k	Nina Paley: Death of the Firstborn Egyptians
FLaqU9Lf39U	23 Minutes from Maps of Meaning: The Architecture of Belief
VIuX1pO70UA	An Animated Intro to Truth, Order and Chaos
xPIanlF6IwM	Compilation: The Death and Resurrection of Christ: A Commentary in Five Parts
xtf4FDlpPZ8	The Master and His Emissary: Conversation with Dr. Iain McGilchrist
Mff2I8Jzjl0	Heavens on Earth with skeptical Dr. Michael Shermer
B7V8eZ1BLiI	Lecture: Biblical Series XV: Joseph and the Coat of Many Colors
DRJKwDfDbco	Lecture: Biblical Series XIV: Jacob: Wrestling with God
VJMy_BWD3CI	Campus Indoctrination: The Parasitization of Myth
E5F4oOlAK8w	Intersectionality, individuality and the hero: a discussion with Jonathan Pageau
A9JtQN_GoVI	Lecture: Biblical Series XIII: Jacob's Ladder
RBl5PfA5HfU	Ayaan Hirsi Ali: Islam--Mecca vs Medina?
PY4sShDt9to	The Neuroscience of Intelligence: Dr. Richard Haier
-yUP40gwht0	Lecture: Biblical Series XII: The Great Sacrifice: Abraham and Isaac
SKzpj0Ev8Xs	Lecture: Biblical Series XI: Sodom and Gomorrah
3Y6bCqT85Pc	Lecture: Biblical Series X: Abraham: Father of Nations
GmuzUZTJ0GA	Lecture: Biblical Series IX: The Call to Abraham
UoQdp2prfmM	Lecture: Biblical Series VIII: The Phenomenology of the Divine
f3vqXCLhJLE	Lecture VIII Background: Abrahamic Stories, with Matthieu & Jonathan Pageau
6gFjB9FTN58	Lecture: Biblical Series VII: Walking with God: Noah and the Flood
wNjbasba-Qw	Lecture: Biblical Series VI: The Psychology of the Flood
